path,kind,extension,codec,bytes,megabytes,width,height,longSide,duration,bitRateKbps,pixFmt,variant,workUsage,recommendation
overtrace/9_ecological/assets/05.jpg,image,jpg,mjpeg,188121,0.188,1125,1500,1500,0.04,37624,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/06.jpg,image,jpg,mjpeg,120169,0.120,1125,1500,1500,0.04,24034,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/07.jpg,image,jpg,mjpeg,357242,0.357,1500,1125,1500,0.04,71448,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/08.jpg,image,jpg,mjpeg,226856,0.227,844,1500,1500,0.04,45371,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/09.jpg,image,jpg,mjpeg,290091,0.290,1500,1125,1500,0.04,58018,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/10.jpg,image,jpg,mjpeg,266364,0.266,1500,1125,1500,0.04,53273,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/11.jpg,image,jpg,mjpeg,228618,0.229,844,1500,1500,0.04,45724,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/12.jpg,image,jpg,mjpeg,208417,0.208,1500,1125,1500,0.04,41683,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/12_gennaio.jpg,image,jpg,mjpeg,137097,0.137,1500,628,1500,0.04,27419,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/13.jpg,image,jpg,mjpeg,272016,0.272,846,1500,1500,0.04,54403,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/14.jpg,image,jpg,mjpeg,157423,0.157,846,1500,1500,0.04,31485,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/15.jpg,image,jpg,mjpeg,269353,0.269,1500,1125,1500,0.04,53871,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/17.jpg,image,jpg,mjpeg,141651,0.142,846,1500,1500,0.04,28330,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/18.jpg,image,jpg,mjpeg,305508,0.306,1125,1500,1500,0.04,61102,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/19.jpg,image,jpg,mjpeg,188088,0.188,1125,1500,1500,0.04,37618,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/20.jpg,image,jpg,mjpeg,222859,0.223,1500,1000,1500,0.04,44572,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/202f63554cba98b59205e439c16e8ae15c8e6cef.mov,video,mov,hevc,20786628,20.787,1920,1080,1920,21.23,7834,yuv420p,desktop/source,,convert-mp4
overtrace/9_ecological/assets/20_gennaio.jpg,image,jpg,mjpeg,286994,0.287,1500,1289,1500,0.04,57399,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/22_gennaio.jpg,image,jpg,mjpeg,177660,0.178,1500,1260,1500,0.04,35532,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/3d.jpg,image,jpg,mjpeg,284784,0.285,1500,1462,1500,0.04,56957,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/47c118a79b9ce3cec90f5f0eb747da1abab55d0c.mov,video,mov,h264,10123071,10.123,1080,1920,1920,5.47,14805,yuv420p,desktop/source,,convert-mp4
overtrace/9_ecological/assets/813971C1-7B64-4EEA-A93F-06EDB2844B77.jpg,image,jpg,mjpeg,225012,0.225,844,1500,1500,0.04,45002,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/8762B7A9-B474-4B27-9651-0074A08C3CAE.jpg,image,jpg,mjpeg,346088,0.346,844,1500,1500,0.04,69218,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/Antidisciplinary_Design.jpg,image,jpg,mjpeg,174688,0.175,1500,1011,1500,0.04,34938,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/Antidisciplinary_Design_1.jpg,image,jpg,mjpeg,127141,0.127,1500,1227,1500,0.04,25428,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/C217BFB9-F3BF-4FF7-ADED-D192DA5FF2CC.jpg,image,jpg,mjpeg,285289,0.285,844,1500,1500,0.04,57058,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/C3C8D9A8-E3B6-4C17-9787-60C217CD3D09.jpg,image,jpg,mjpeg,269093,0.269,844,1500,1500,0.04,53819,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_1744.jpg,image,jpg,mjpeg,235352,0.235,1125,1500,1500,0.04,47070,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_5927.jpg,image,jpg,mjpeg,499485,0.499,1125,1500,1500,0.04,99897,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_5930.jpg,image,jpg,mjpeg,378560,0.379,1500,1125,1500,0.04,75712,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6155.jpg,image,jpg,mjpeg,448930,0.449,1500,1125,1500,0.04,89786,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6161.jpg,image,jpg,mjpeg,201409,0.201,1500,1125,1500,0.04,40282,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6168.jpg,image,jpg,mjpeg,498645,0.499,1125,1500,1500,0.04,99729,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6171.jpg,image,jpg,mjpeg,356529,0.357,1500,1125,1500,0.04,71306,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6176.jpg,image,jpg,mjpeg,307965,0.308,1125,1500,1500,0.04,61593,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6215.jpg,image,jpg,mjpeg,342761,0.343,1500,1125,1500,0.04,68552,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/IMG_6223.jpg,image,jpg,mjpeg,344692,0.345,1125,1500,1500,0.04,68938,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/Immagine_01-12-25_-_15.03.jpg,image,jpg,mjpeg,132962,0.133,1500,875,1500,0.04,26592,yuvj420p,desktop/source,,convert-webp
overtrace/9_ecological/assets/Immagine_01-12-25_-_15.06.jpg,image,jpg,mjpeg,222578,0.223,1500,876,1500,0.04,44516,yuvj420p,desktop/source,,convert-webp
